actor,domain,ips,asn,asn_description,asn_country,registrar,creation_date,expiration_date,sld,tld,ns_hosts,ns_base,ns_count,mx_hosts,mx_base,mx_count,soa_email,ip_count
Silent Lynx,catalog-update-update-microsoft.serveftp.com,37.18.88.6,48096.0,"ITGRAD, RU",RU,,,,serveftp,com,,,0,,,0,,1.0
Silent Lynx,updates-check-microsoft.ddns.net,62.113.66.137,60490.0,"MTS-CLOUD, RU",RU,,,,ddns,net,,,0,,,0,,1.0
Agenda,chatgptitalia.net,192.142.1.76,214036.0,"ULTAHOST-AS, US",ZA,"DNC Holdings, Inc",2023-09-21,2026-09-21,chatgptitalia,net,ns1.ultahost.com.;ns2.ultahost.com.,ultahost.com,2,chatgptitalia.net.,chatgptitalia.net,1,hostmaster@ultahost.com,1.0
Rhysida,cybersavvynetwork.com,127.1.2.3,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-09-23,2026-09-23,cybersavvynetwork,com,,,0,,,0,,1.0
Rhysida,doctorreportcard.com,185.28.119.252,62005.0,"BV-EU-AS, EE",GB,NAMECHEAP INC,2025-09-30,2026-09-30,doctorreportcard,com,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.,registrar-servers.com,5,hostmaster@registrar-servers.com,1.0
Rhysida,funkyfirmware.com,173.255.204.62,63949.0,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-08-04,2026-08-04,funkyfirmware,com,,,0,,,0,,1.0
Rhysida,teams-app.bet,,,,,,,,teams-app,bet,,,0,,,0,,
Rhysida,teams-install.icu,,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-09-23,2026-09-23,teams-install,icu,,,0,,,0,,
Rhysida,techwisenetwork.com,,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-09-23,2026-09-23,techwisenetwork,com,,,0,,,0,,
Rhysida,veloraio.com,74.119.239.234,46606.0,"UNIFIEDLAYER-AS-1, US",US,INWX GmbH,2025-10-02,2026-10-02,veloraio,com,,,0,,,0,admin@suspended-domain.com,1.0
"Kimsuky, Lazarus",load.auraria.org,,,,,Porkbun LLC,2005-10-16,2026-10-16,auraria,org,,,0,,,0,,
"Kimsuky, Lazarus",tronracing.com,162.0.212.2,22612.0,"NAMECHEAP-NET, US",US,NAMECHEAP INC,2024-09-25,2026-09-25,tronracing,com,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,mx1.privateemail.com.;mx2.privateemail.com.,privateemail.com,2,hostmaster@registrar-servers.com,1.0
UAT-8099,2fgithub.com,156.235.192.138,134548.0,"DXTL-HK DXTL Tseung Kwan O Service, HK",SC,Dominet (HK) Limited,2025-03-17,2026-03-17,2fgithub,com,a.share-dns.com.;b.share-dns.net.,share-dns.com;share-dns.net,2,,,0,master@share-dns.com,1.0
UAT-8099,alex.rootggseo.com,"104.21.58.35,172.67.199.124",13335.0,"CLOUDFLARENET, US",US,Gname.com Pte. Ltd.,2025-04-03,2026-04-03,rootggseo,com,,,0,,,0,,2.0
UAT-8099,ar.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,ar.mnnoxzmq.com,,,,,,,,mnnoxzmq,com,,,0,,,0,,
UAT-8099,aspx2.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,buvmfuwecndskmkvhndfjk.dfbdfwrthgef.top,"104.21.41.124,172.67.164.197",13335.0,"CLOUDFLARENET, US",US,"NameSilo, LLC",2025-04-26,2026-04-26,dfbdfwrthgef,top,,,0,,,0,,2.0
UAT-8099,bx.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,bx.westooo.com,"104.21.77.162,172.67.209.242",13335.0,"CLOUDFLARENET, US",US,Gname.com Pte. Ltd.,2025-03-03,2026-03-03,westooo,com,,,0,,,0,,2.0
UAT-8099,bxphp.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,cdn.windowserrorapis.com,82.163.22.139,55720.0,"GIGABIT-MY Gigabit Hosting Sdn Bhd, MY",GB,NAMECHEAP INC,2024-08-20,2026-08-20,windowserrorapis,com,,,0,,,0,,1.0
UAT-8099,ceshi.mejsc4.com,"172.233.219.123,172.233.219.49,172.233.219.78,172.237.146.25,172.237.146.38,172.237.146.8",63949.0,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,DYNADOT LLC,2025-07-14,2026-07-14,mejsc4,com,ns1.parklogic.com.;ns2.parklogic.com.,parklogic.com,2,mx.plingest.com.,plingest.com,1,hostmaster@mejsc4.com,6.0
UAT-8099,cheng.win123888.com,"104.21.89.244,172.67.166.43",13335.0,"CLOUDFLARENET, US",US,InterNetX GmbH,2025-03-15,2026-03-15,win123888,com,,,0,,,0,,2.0
UAT-8099,google.dfbdfwrthgef.top,"104.21.41.124,172.67.164.197",13335.0,"CLOUDFLARENET, US",US,"NameSilo, LLC",2025-04-26,2026-04-26,dfbdfwrthgef,top,,,0,,,0,,2.0
UAT-8099,iis.ihack.one,,,,,,,,ihack,one,,,0,,,0,,
UAT-8099,joyddll.westooo.com,"104.21.77.162,172.67.209.242",13335.0,"CLOUDFLARENET, US",US,Gname.com Pte. Ltd.,2025-03-03,2026-03-03,westooo,com,,,0,,,0,,2.0
UAT-8099,joydphp.westooo.com,"104.21.77.162,172.67.209.242",13335.0,"CLOUDFLARENET, US",US,Gname.com Pte. Ltd.,2025-03-03,2026-03-03,westooo,com,,,0,,,0,,2.0
UAT-8099,link.mejsc4.com,"172.233.219.123,172.233.219.49,172.233.219.78,172.237.146.25,172.237.146.38,172.237.146.8",63949.0,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,DYNADOT LLC,2025-07-14,2026-07-14,mejsc4,com,ns1.parklogic.com.;ns2.parklogic.com.,parklogic.com,2,mx.plingest.com.,plingest.com,1,hostmaster@mejsc4.com,6.0
UAT-8099,list.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,meindi11.com,,,,,,,,meindi11,com,,,0,,,0,,
UAT-8099,mejsc1.com,,,,,,,,mejsc1,com,,,0,,,0,,
UAT-8099,mo2dll.win123888.com,"104.21.89.244,172.67.166.43",13335.0,"CLOUDFLARENET, US",US,InterNetX GmbH,2025-03-15,2026-03-15,win123888,com,,,0,,,0,,2.0
UAT-8099,modll.win123888.com,"104.21.89.244,172.67.166.43",13335.0,"CLOUDFLARENET, US",US,InterNetX GmbH,2025-03-15,2026-03-15,win123888,com,,,0,,,0,,2.0
UAT-8099,mulu.ihack.one,,,,,,,,ihack,one,,,0,,,0,,
UAT-8099,suidcbdewjskbcsdjvbwehcsdj.dfbdfwrthgef.top,"104.21.41.124,172.67.164.197",13335.0,"CLOUDFLARENET, US",US,"NameSilo, LLC",2025-04-26,2026-04-26,dfbdfwrthgef,top,,,0,,,0,,2.0
UAT-8099,tdk.ihack.one,,,,,,,,ihack,one,,,0,,,0,,
UAT-8099,th1.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,th1.win123888.com,"104.21.89.244,172.67.166.43",13335.0,"CLOUDFLARENET, US",US,InterNetX GmbH,2025-03-15,2026-03-15,win123888,com,,,0,,,0,,2.0
UAT-8099,x2.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,x3.ggseocdn.com,"104.21.29.219,172.67.149.213",13335.0,"CLOUDFLARENET, US",US,"GoDaddy.com, LLC",2024-07-20,2026-07-20,ggseocdn,com,,,0,,,0,,2.0
UAT-8099,x5.westooo.com,"104.21.77.162,172.67.209.242",13335.0,"CLOUDFLARENET, US",US,Gname.com Pte. Ltd.,2025-03-03,2026-03-03,westooo,com,,,0,,,0,,2.0
UAT-8099,xl.luodixijin.com,,,,,,,,luodixijin,com,,,0,,,0,,
UAT-8099,xldll.xijingdafa.com,,,,,,,,xijingdafa,com,,,0,,,0,,
Cloud Atlas,block-monitor.net,185.53.179.136,61969.0,"TEAMINTERNET-AS, DE",DE,Hosting Concepts B.V. d/b/a Registrar.eu,2024-11-06,2026-11-06,block-monitor,net,ina1.registrar.eu.;ina2.registrar.eu.;ina3.registrar.eu.,registrar.eu,3,,,0,noreply@registrar.eu,1.0
Cloud Atlas,cloud-workstation.com,193.233.48.245,207713.0,"GIR-AS, RU",RU,"TUCOWS DOMAINS, INC.",2025-01-31,2026-01-31,cloud-workstation,com,ns1.flokinet.net.;ns2.flokinet.net.;ns3.flokinet.net.;ns4.flokinet.net.,flokinet.net,4,,,0,root@dnsnode.flokinet.is,1.0
Cloud Atlas,cyberservice24.com,185.53.179.113,61969.0,"TEAMINTERNET-AS, DE",DE,Internet Domain Service BS Corp.,2024-10-23,2026-10-23,cyberservice24,com,ns1.ibspark.com.;ns2.ibspark.com.,ibspark.com,2,,,0,hostmaster@cyberservice24.com,1.0
Cloud Atlas,officeconfirm.technoguides.org,,,,,,,,technoguides,org,,,0,,,0,,
Lampion,at-portal-das-financas.com,,,,,"GMO Internet, Inc.",2025-04-16,2026-04-16,at-portal-das-financas,com,,,0,,,0,,
Lampion,at-portaldasfinancas-pt.com,"147.79.120.37,148.135.128.34",47583.0,"AS-HOSTINGER, CY",US,"HOSTINGER operations, UAB",2025-10-13,2026-10-13,at-portaldasfinancas-pt,com,ns1.dns-parking.com.;ns2.dns-parking.com.,dns-parking.com,2,mx1.hostinger.com.;mx2.hostinger.com.,hostinger.com,2,dns@hostinger.com,2.0
