domain,subdomains,subdomain_count,email_user,registrar,asn,org,host_provider,ips,asn_description,asn_country,creation_date,expiration_date,sld,tld,ns_hosts,ns_base,ns_count,mx_hosts,mx_base,mx_count,soa_email,ip_count
allegro.pl-oferta70923618.cfd,,0.0,support,WEBCC,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
www.caixadirectaparticular.com,,0.0,abuse,"OwnRegistrar, Inc. (ID1250)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
eu.jotform.com,,0.0,domainabuse,"TUCOWS DOMAINS, INC.",13335.0,"CLOUDFLARENET, US","CLOUDFLARENET, US (AS13335)",,,,,,,,,,0,,,0,,
us16.campaign-archive.com,,0.0,abusecomplaints,"MarkMonitor, Inc.",16625.0,"AKAMAI-AS, US","AKAMAI-AS, US (AS16625)",,,,,,,,,,0,,,0,,
fr-espace-ulys.com,,0.0,abuse,"Wild West Domains, LLC (ID440)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,ns07.domaincontrol.com.;ns08.domaincontrol.com.,domaincontrol.com,2,,,0,dns@jomax.net,
convitecenturionone.com,,0.0,abuse,"GoDaddy.com, LLC (ID146)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,ns21.domaincontrol.com.;ns22.domaincontrol.com.,domaincontrol.com,2,,,0,dns@jomax.net,
www.mise-a-niveau.com,,0.0,abuse,Hosting Concepts B.V. d/b/a Registrar.eu (ID1647),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
mise-a-niveau.com,,0.0,abuse,Hosting Concepts B.V. d/b/a Registrar.eu (ID1647),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,ns1.openprovider.nl.;ns2.openprovider.be.;ns3.openprovider.eu.,openprovider.be;openprovider.eu;openprovider.nl,3,,,0,dns@openprovider.eu,
trezrio.us,,0.0,UNKNOWN,NAMECHEAP INC,55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
cncllcus4sv.odoo.com,,0.0,abuse,"OVH, SAS",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,am484a.odoo.com.,odoo.com,1,,
lohndcresxzawe.z5.web.core.windows.net,,0.0,abusecomplaints,"MarkMonitor, Inc.",8075.0,"MICROSOFT-CORP-MSN-AS-BLOCK, US","MICROSOFT-CORP-MSN-AS-BLOCK, US (AS8075)",,,,,,,,,,0,,,0,,
peagesimpaye-vinci.com,,0.0,abuse,Hosting Concepts B.V. d/b/a Registrar.eu (ID1647),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,ina1.registrar.eu.;ina2.registrar.eu.;ina3.registrar.eu.,registrar.eu,3,,,0,noreply@registrar.eu,
