label,domain,ips,asn,asn_description,asn_country,registrar,creation_date,expiration_date,sld,tld,ns_hosts,ns_base,ns_count,mx_hosts,mx_base,mx_count,soa_email,ip_count
ClearFake,geist.spruce5moor.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,spruce5moor,ru,,,0,,,0,,
Vidar,sol.clashofmaps.vip,"104.21.82.99,172.67.200.34",13335.0,"CLOUDFLARENET, US",US,NAMECHEAP INC,2023-07-26,2026-07-26,clashofmaps,vip,,,0,,,0,,2.0
Vidar,sol.mummyhildasrice.com,88.198.111.120,24940.0,"HETZNER-AS, DE",DE,NAMECHEAP INC,2023-10-04,2026-10-04,mummyhildasrice,com,,,0,,,0,,1.0
Unknown malware,bydfiexchange.live,"104.21.90.207,172.67.161.44",13335.0,"CLOUDFLARENET, US",US,,,,bydfiexchange,live,alexis.ns.cloudflare.com.;keira.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,2.0
Unknown Stealer,vcc-library.uk,91.92.243.218,214943.0,"RAILNET, US",TR,Key-Systems GmbH [Tag = KEY-SYSTEMS-DE],2025-10-28,2026-10-28,vcc-library,uk,ns3.my-ndns.com.;ns4.my-ndns.com.,my-ndns.com,2,,,0,root@vcc-library.uk,1.0
Unknown malware,digital-marketing-pro-365.com,"104.21.81.100,172.67.141.163",13335.0,"CLOUDFLARENET, US",US,CNOBIN INFORMATION TECHNOLOGY LIMITED,2025-11-05,2026-11-05,digital-marketing-pro-365,com,angelina.ns.cloudflare.com.;decker.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,2.0
Unknown malware,wee-wee-gachi-master.com,,,,,CNOBIN INFORMATION TECHNOLOGY LIMITED,2025-11-09,2026-11-09,wee-wee-gachi-master,com,,,0,,,0,,
Unknown RAT,newtry.app,206.206.127.137,396356.0,"LATITUDE-SH, US",US,,,,newtry,app,1-you.njalla.no.;2-can.njalla.in.;3-get.njalla.fo.,njalla.fo;njalla.in;njalla.no,3,,,0,you@can-get-no.info,1.0
ClearFake,ufer.spruce5moor.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,spruce5moor,ru,,,0,,,0,,
ClearFake,licht.nebulaquelle3.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,nebulaquelle3,ru,,,0,,,0,,
