TLD,Indexed URLs,
COM,25270000000,
NET,7360000000,
ORG,6010000000,
JP,3850000000,
DE,3500000000,
UK,2560000000,
FR,2510000000,
BR,2440000000,
IT,2200000000,
RU,1970000000,
ES,1660000000,
ME,1460000000,
GOV,1410000000,
PL,1340000000,
CA,1320000000,
AU,1300000000,
CN,1270000000,
CO,1230000000,
IN,1140000000,
NL,1090000000,
EDU,1070000000,
INFO,923000000,
EU,752000000,
CH,746000000,
ID,649000000,
AT,633000000,
KR,627000000,
CZ,619000000,
MX,603000000,
BE,591000000,
TV,565000000,
SE,559000000,
TR,541000000,
TW,540000000,
AL,499000000,
UA,484000000,
IR,450000000,
VN,436000000,
CL,435000000,
SK,405000000,
LY,394000000,
CC,393000000,
TO,392000000,
NO,388000000,
FI,384000000,
US,383000000,
PT,374000000,
DK,352000000,
AR,345000000,
HU,313000000,
TK,310000000,
GR,309000000,
IL,263000000,
NEWS,263000000,
RO,259000000,
MY,242000000,
BIZ,232000000,
IE,226000000,
ZA,225000000,
NZ,223000000,
SG,222000000,
EE,216000000,
TH,208000000,
IO,201000000,
XYZ,191000000,
PE,187000000,
BG,158000000,
HK,148000000,
RS,138000000,
LT,132000000,
LINK,131000000,
PH,129000000,
CLUB,127000000,
SI,123000000,
SITE,122000000,
MOBI,114000000,
BY,111000000,
CAT,108000000,
WIKI,103000000,
LA,102000000,
GA,97800000,
XXX,97700000,
CF,96800000,
HR,94300000,
NG,91400000,
JOBS,85300000,
ONLINE,82600000,
KZ,82300000,
UG,81800000,
GQ,77200000,
AE,77100000,
IS,74800000,
LV,74300000,
PRO,73500000,
FM,72300000,
TIPS,72100000,
MS,66700000,
SA,64700000,
APP,61700000,
LAT,59400000,
PK,57800000,
WS,57600000,
TOP,57400000,
XN--P1AI,55600000,
PW,53200000,
AI,50200000,
KW,49900000,
ML,48500000,
SU,48000000,
LU,45100000,
NU,44800000,
EC,44100000,
UY,43200000,
AZ,42500000,
MA,41500000,
ST,38500000,
ASIA,37300000,
IM,37200000,
AM,36700000,
EMAIL,35300000,
KE,34400000,
EG,33100000,
LIVE,32700000,
MD,31600000,
UZ,31600000,
TODAY,31400000,
GE,31300000,
BA,30600000,
BO,30300000,
BLOG,29300000,
LK,28500000,
DO,28100000,
ONE,27900000,
VE,27500000,
MEDIA,27000000,
SH,26300000,`
VIP,25600000,
LIFE,25500000,
GURU,23200000,
MP,22800000,
INT,22700000,
TZ,22400000,
DESI,22100000,
JO,22100000,
MK,22100000,
NP,22100000,
PY,21900000,
MU,21800000,
MN,21300000,
RE,20000000,
TRAVEL,19600000,
TN,19100000,
GD,19000000,
SN,19000000,
CAM,18800000,
SHOP,18300000,
MIL,18200000,
TOKYO,17900000,
GG,17500000,
KG,16700000,
CR,16600000,
LI,16500000,
CU,16100000,
HN,16000000,
EUS,15700000,
ROCKS,14700000,
BD,14600000,
DEV,14600000,
FUN,14500000,
VIDEO,14400000,
GT,14300000,
BZ,13600000,
SPACE,13600000,
STORE,13600000,
MT,13500000,
NAME,12800000,
WORK,12800000,
PORN,12500000,
PUB,12500000,
KH,12300000,
ICU,12200000,
AS,11900000,
CY,11800000,
PR,11800000,
CAREERS,11400000,
PS,11300000,
DZ,11200000,
IQ,11200000,
LTD,11100000,
PA,10900000,
SV,10700000,
QA,10600000,
DESIGN,10300000,
SC,10300000,
SY,10300000,
AERO,10200000,
TECH,10100000,
BEST,9920000,
SCOT,9920000,
WIN,9850000,
NI,9490000,
BZH,9350000,
LB,9210000,
CITY,9150000,
DIGITAL,9150000,
RED,9120000,
PG,9000000,
WORLD,8890000,
AG,8760000,
CI,8670000,
REPORT,8330000,
AC,8240000,
CENTER,8160000,
AD,8130000,
OVH,8120000,
OM,8100000,
CLOUD,8070000,
PRESS,8070000,
ZW,7960000,
VG,7930000,
CX,7840000,
WEBSITE,7840000,
PLUS,7700000,
PAGE,7690000,
BS,7560000,
CD,7490000,
GH,7480000,
MOE,7410000,
HELP,7340000,
DOWNLOAD,7070000,
AO,6940000,
CM,6940000,
AF,6690000,
CLICK,6470000,
MG,6430000,
TM,6320000,
NA,6140000,
PICS,6110000,
MV,5990000,
MARKET,5970000,
RW,5880000,
FO,5830000,
FJ,5790000,
TL,5690000,
GRATIS,5660000,
ART,5590000,
MC,5570000,
MO,5570000,
GAL,5550000,
COOP,5250000,
NC,5250000,
RUN,5020000,
MZ,4990000,
TJ,4970000,
ZONE,4890000,
CV,4830000,
BH,4640000,
PLACE,4610000,
GY,4600000,
AGENCY,4570000,
KN,4560000,
MM,4560000,
